Wysokość (h [m]),Siła ciążenia (Fg [N]),Temperatura (T [K]),Ciśnienie (p [Pa]),Gęstość powietrza (ρ [kg/m^3])
2450,490.9800000000001,287.175,75702.6777876063,0.9183475271097418
2460,490.784,287.09,75606.1836515128,0.9174485114764458
2470,490.5880000000001,287.005,75509.75546477138,0.9165497638384799
2480,490.39200000000005,286.92,75413.393238242,0.9156512845658833
2490,490.19599999999997,286.835,75317.09698275539,0.9147530740287799
2500,490.00000000000006,286.75,75220.8667091129,0.9138551325973745
2510,489.8040000000001,286.665,75124.70242808656,0.9129574606419555
2520,489.60800000000006,286.58,75028.60415041892,0.9120600585328916
2530,489.41200000000003,286.495,74932.57188682312,0.911162926640634
2540,489.21600000000007,286.41,74836.60564798277,0.9102660653357139
2550,489.02000000000004,286.325,74740.70544455195,0.9093694749887438
2560,488.824,286.24,74644.87128715514,0.9084731559704154
2570,488.62800000000004,286.155,74549.10318638716,0.9075771086515009
2580,488.4320000000001,286.07,74453.40115281324,0.9066813334028513
2590,488.23600000000005,285.985,74357.76519696877,0.9057858305953965
2600,488.04,285.9,74262.19532935944,0.9048906006001448
2610,487.84400000000005,285.815,74166.69156046116,0.9039956437881829
2620,487.648,285.73,74071.25390071992,0.9031009605306743
2630,487.45200000000006,285.645,73975.88236055183,0.9022065511988605
2640,487.25600000000003,285.56,73880.57695034312,0.9013124161640594
2650,487.06000000000006,285.475,73785.33768044996,0.9004185557976652
2660,486.86400000000003,285.39,73690.16456119853,0.899524970471148
2670,486.668,285.305,73595.05760288495,0.8986316605560538
2680,486.47200000000004,285.22,73500.01681577516,0.8977386264240027
2690,486.276,285.135,73405.04221010504,0.896845868446691
2700,486.08000000000004,285.05,73310.1337960802,0.8959533869958879
2710,485.884,284.965,73215.29158387602,0.8950611824434369
2720,485.68800000000005,284.88,73120.51558363759,0.8941692551612547
2730,485.492,284.795,73025.80580547966,0.8932776055213312
2740,485.296,284.71,72931.16225948659,0.8923862338957285
2750,485.1,284.625,72836.58495571237,0.8914951406565813
2760,484.90400000000005,284.54,72742.07390418048,0.8906043261760955
2770,484.708,284.455,72647.62911488388,0.8897137908265486
2780,484.512,284.37,72553.25059778502,0.8888235349802883
2790,484.31600000000003,284.28499999999997,72458.9383628157,0.8879335590097334
2800,484.12,284.2,72364.69241987712,0.8870438632873718
2810,483.924,284.115,72270.51277883977,0.8861544481857617
2820,483.728,284.03,72176.39944954342,0.8852653140775303
2830,483.5320000000001,283.945,72082.35244179705,0.8843764613353723
2840,483.336,283.86,71988.37176537886,0.8834878903320522
2850,483.14,283.775,71894.45743003614,0.8825996014404013
2860,482.9440000000001,283.69,71800.60944548532,0.881711595033318
2870,482.7480000000001,283.605,71706.8278214118,0.8808238714837677
2880,482.55199999999996,283.52,71613.11256747009,0.8799364311647834
2890,482.35600000000005,283.435,71519.46369328359,0.879049274449462
2900,482.1600000000001,283.35,71425.88120844463,0.8781624017109677
2910,481.96400000000006,283.265,71332.36512251441,0.8772758133225289
2920,481.76800000000003,283.18,71238.91544502298,0.8763895096574388
2930,481.57200000000006,283.095,71145.53218546916,0.8755034910890547
2940,481.37600000000003,283.01,71052.21535332048,0.874617757990798
2950,481.18000000000006,282.925,70958.96495801322,0.8737323107361528
2960,480.98400000000004,282.84,70865.78100895225,0.8728471496986664
2970,480.78800000000007,282.755,70772.66351551111,0.8719622752519485
2980,480.59200000000004,282.67,70679.61248703185,0.8710776877696705
2990,480.3960000000001,282.585,70586.62793282505,0.8701933876255659
3000,480.20000000000005,282.5,70493.7098621698,0.8693093751934283
3010,480.0040000000001,282.415,70400.85828431355,0.8684256508471124
3020,479.80800000000005,282.33,70308.07320847217,0.8675422149605329
3030,479.612,282.245,70215.3546438299,0.866659067907664
3040,479.41600000000005,282.16,70122.70259953923,0.8657762100625398
3050,479.2200000000001,282.075,70030.11708472091,0.864893641799252
3060,479.024,281.99,69937.5981084639,0.8640113634919511
3070,478.82800000000003,281.905,69845.14567982535,0.8631293755148459
3080,478.63200000000006,281.82,69752.75980783046,0.8622476782422016
3090,478.43600000000004,281.735,69660.44050147256,0.8613662720483408
3100,478.24,281.65,69568.18776971298,0.8604851573076427
3110,478.04400000000004,281.565,69476.00162148105,0.8596043343945418
3120,477.848,281.48,69383.88206567404,0.8587238036835289
3130,477.65200000000004,281.395,69291.82911115706,0.8578435655491486
3140,477.456,281.31,69199.84276676316,0.8569636203660017
3150,477.26000000000005,281.225,69107.92304129314,0.8560839685087416
3160,477.064,281.14,69016.06994351553,0.855204610352076
3170,476.868,281.055,68924.28348216663,0.8543255462707651
3180,476.672,280.97,68832.56366595041,0.8534467766396227
3190,476.47600000000006,280.885,68740.9105035384,0.8525683018335138
3200,476.28,280.8,68649.3240035698,0.851690122227356
3210,476.084,280.715,68557.80417465129,0.8508122381961174
3220,475.88800000000003,280.63,68466.35102535703,0.849934650114817
3230,475.692,280.545,68374.96456422868,0.849057358358524
3240,475.496,280.46,68283.64479977524,0.8481803633023579
3250,475.3,280.375,68192.39174047313,0.8473036653214868
3260,475.104,280.29,68101.20539476602,0.8464272647911277
3270,474.908,280.205,68010.08577106487,0.8455511620865467
3280,474.712,280.12,67919.0328777479,0.8446753575830566
3290,474.5160000000001,280.035,67828.04672316044,0.8437998516560182
3300,474.32,279.95,67737.127315615,0.8429246446808393
3310,474.1240000000001,279.865,67646.27466339114,0.8420497370329735
3320,473.92800000000005,279.78,67555.48877473551,0.8411751290879207
3330,473.7320000000001,279.695,67464.76965786172,0.8403008212212263
3340,473.53600000000006,279.61,67374.11732095035,0.8394268138084802
3350,473.34000000000003,279.525,67283.53177214885,0.8385531072253172
3360,473.14400000000006,279.44,67193.01301957159,0.8376797018474152
3370,472.9480000000001,279.355,67102.56107129971,0.8368065980504966
3380,472.752,279.27,67012.17593538115,0.8359337962103259
3390,472.55600000000004,279.185,66921.85761983058,0.8350612967027107
3400,472.36000000000007,279.1,66831.60613262931,0.8341890999034995
3410,472.16400000000004,279.015,66741.42148172531,0.8333172061885833
3420,471.968,278.93,66651.30367503318,0.8324456159338937
3430,471.77200000000005,278.845,66561.252720434,0.8315743295154022
3440,471.5760000000001,278.76,66471.2686257754,0.8307033473091211
3450,471.38000000000005,278.675,66381.35139887145,0.8298326696911017
3460,471.184,278.59000000000003,66291.50104750262,0.8289622970374336
